names,predictions,confidences
james preston,Celtic,92.524
charles miller,Celtic,76.863
philip neal,Celtic,90.28
peter mullin,Celtic,78.508
richard ferry,Celtic,80.348
george sissel,African,52.728
christian poindexter,European,63.967
edward crooke,Celtic,90.769
furlong baldwin,African,53.15
john mccoy,Celtic,84.624
robert walter,Celtic,85.859
charles gifford,Celtic,86.236
thomas wheeler,Celtic,45.742
paul chellgren,Nordic,49.956
vernon jordan,African,51.362
william stiritz,African,78.35
thomas stemberg,Nordic,56.296
charles rice,Celtic,89.812
v loucks,African,94.685
john roe,Nordic,44.66
nolan archibald,Celtic,73.757
lawrence perlman,African,50.401
john reed,Celtic,77.869
william rhodes,Celtic,82.772
onno ruding,Nordic,62.913
david johnson,Celtic,49.14
morry weiss,Celtic,62.581
albert ratner,European,77.693
david mandarich,Nordic,28.135
gilbert goldstein,European,87.08
larry mizel,Hispanic,60.338
alan rosskamm,Celtic,54.626
ira gumberg,Nordic,97.65
william longfield,Celtic,72.485
regina herzlinger,European,52.001
duane ackerman,African,92.592
thomas hodgson,Celtic,78.991
wj sanders,European,77.654
richard previte,Celtic,73.483
gerald greenwald,Celtic,59.807
gary michael,Celtic,78.891
joseph gorman,Celtic,38.556
john lewis,Celtic,88.781
barclay collins,Celtic,59.321
john hess,Celtic,63.336
handel evans,Celtic,56.304
gavin herbert,African,64.564
thomas hays,Celtic,63.755
linn draper,Nordic,99.638
robert devlin,Celtic,77.874
harvey golub,Muslim,91.058
aldo papone,European,94.927
john stafford,Celtic,87.232
maurice greenberg,European,39.616
thomas tizzio,European,88.546
carla hills,Celtic,45.002
richard notebaert,European,42.953
laurance fuller,European,40.387
william hudson,Celtic,86.305
james marley,Celtic,92.285
august busch,European,86.006
edward whitacre,Celtic,48.874
carlos fernandez,Hispanic,98.214
douglas warner,Celtic,76.961
charles knight,Celtic,80.473
james will,Celtic,89.867
allen deaver,Celtic,87.59
george lorch,Celtic,52.702
kevin sharer,Celtic,43.483
richard osborne,Celtic,66.512
francis mcallister,Celtic,69.935
mike bowlin,Celtic,48.891
carol bartz,African,77.803
mark bertelsen,Nordic,91.265
jeffrey curler,Celtic,72.555
harry kamen,African,41.873
jerry ritter,Celtic,72.322
george harad,Muslim,35.984
william ruckelshaus,African,61.408
william cavanaugh,Celtic,89.631
laurence hirsch,Celtic,53.575
david quinn,Celtic,82.627
thomas shockley,Celtic,89.209
richard brooks,Celtic,86.957
glenn biggs,Celtic,86.802
walter shipley,Celtic,88.683
kenneth derr,Celtic,32.757
thomas denomme,European,64.009
robert eaton,Celtic,80.925
dean ohare,African,85.389
daniel meyer,African,42.16
joseph steger,Celtic,40.565
richard sharp,Celtic,73.424
david arledge,Celtic,88.627
reuben mark,African,67.65
james oconnor,Celtic,85.264
samuel skinner,Celtic,56.701
eckhard pfeiffer,European,84.524
russell artzt,European,47.698
van honeycutt,European,67.174
leon level,Hispanic,28.654
eugene mcgrath,Celtic,56.238
george davidson,Celtic,52.499
roger ackerman,Celtic,61.177
charles shoemate,African,93.772
rs evans,Nordic,80.639
charles queenan,African,45.763
william avery,Celtic,83.755
john snow,Nordic,47.251
robert burrus,European,76.275
hugh mccoll,Celtic,75.717
james henderson,Celtic,88.558
robert darnall,Celtic,91.335
harold brown,Celtic,55.088
william miller,Celtic,76.987
lawrence wilson,Celtic,60.897
douglas mccorkindale,Celtic,88.997
donald fisher,Celtic,83.138
doris fisher,Celtic,84.55
robert fisher,Celtic,90.337
millard drexler,European,58.902
nicholas chabraja,African,48.935
james crown,Celtic,90.102
lester crown,Celtic,79.722
charles goodman,Celtic,73.737
ronald ferguson,African,55.063
william wire,Celtic,81.868
larry prince,Celtic,79.854
thomas gallagher,Celtic,88.514
alston correll,Celtic,56.655
james williams,Celtic,73.738
louis sullivan,Celtic,79.316
marie whittemore,Nordic,39.687
bruce gottwald,African,93.736
david stonecipher,Celtic,91.551
ralph larsen,Nordic,97.43
robert wilson,Celtic,78.575
james keyes,Celtic,79.436
arnold langbo,African,86.465
anthony ridder,Celtic,70.567
joseph pichler,Celtic,39.808
reuben anderson,African,85.712
willard marriott,Celtic,50.368
richard marriott,Celtic,81.687
mitt romney,Nordic,47.045
marcus bennett,Celtic,74.503
norman augustine,SouthAsian,25.426
richard manoogian,Muslim,38.595
ronald loeb,African,54.57
david farrell,Celtic,82.008
leonard hadley,Celtic,86.327
james berick,Celtic,74.204
benjamin civiletti,European,62.357
randolph lerner,European,77.795
robert beavers,Celtic,88.038
james cantalupo,Hispanic,79.578
jack greenberg,Celtic,70.301
michael quinlan,Celtic,70.312
edward rensi,African,75.662
donald lubin,African,50.768
andrew mckenna,Celtic,88.526
joseph dionne,African,38.821
harold mcgraw,Celtic,81.998
steven mason,Celtic,79.457
frank cahouet,European,89.139
keith smith,Celtic,74.338
stephen hammerman,Celtic,49.796
aulana peters,European,46.602
livio desimone,European,93.927
ronald mitsch,European,58.809
lucio noto,Hispanic,63.0
eugene renna,European,46.315
nicholas reding,Celtic,83.4
robert shapiro,African,86.938
philip purcell,Celtic,88.814
carol bernick,Celtic,76.711
ronald skates,Celtic,69.819
duane burnham,Celtic,51.76
southwood morcott,Celtic,60.845
robert ulrich,European,85.114
leonard lavin,Celtic,38.454
howard bernick,Celtic,78.11
bernice lavin,Celtic,44.949
lawrence bossidy,Celtic,36.504
hans becherer,European,87.077
john lobbia,Hispanic,82.647
larry garberding,Celtic,83.574
alan schwartz,European,47.419
drue corbusier,European,86.764
mike dillard,Celtic,69.415
william dillard,Celtic,78.665
james freeman,Celtic,92.192
will davis,Celtic,61.885
william sutton,Celtic,85.674
john johnson,African,52.461
michael eisner,Celtic,35.303
richard nunis,Hispanic,62.293
gary wilson,Celtic,67.75
thomas capps,Celtic,88.506
gary roubos,African,50.74
thomas reece,Celtic,69.554
james koley,Celtic,82.916
frank popoff,European,42.937
enrique falla,Hispanic,95.858
william stavropoulos,European,49.74
james ottaway,Celtic,83.243
peter kann,European,60.003
william bradford,Celtic,87.556
richard priory,Celtic,79.89
william grigg,Celtic,42.102
atwood ives,Celtic,61.695
alexander cutler,Celtic,71.688
stephen hardis,Celtic,90.308
frank blount,European,83.07
john cooper,Celtic,86.996
robert luft,Nordic,45.034
bismark steinhagen,Nordic,95.788
james nichols,Celtic,89.19
james johnson,Celtic,57.926
lawrence small,Celtic,70.248
robert burt,European,40.409
larry brady,Celtic,85.868
richard swift,Celtic,87.944
james broadhead,Celtic,94.4
dale jones,Celtic,61.298
richard smith,Celtic,55.751
robert smith,Celtic,69.583
alan hassenfeld,Celtic,64.463
alfred verrecchia,European,73.229
preston tisch,European,61.053
carl spielvogel,Nordic,45.787
henry taub,Celtic,27.724
hans helmerich,Nordic,80.577
george dotson,African,50.104
walter helmerich,European,94.426
keith elliott,Celtic,91.074
joseph viviano,Hispanic,83.31
kenneth wolfe,Celtic,85.747
lewis platt,Celtic,79.123
robert wayman,Celtic,81.986
richard hackborn,Celtic,48.251
william hilton,Celtic,85.847
arthur blank,Celtic,31.334
kenneth langone,Hispanic,55.147
michael bonsignore,European,45.476
don jordan,Celtic,38.708
harold smith,Celtic,50.333
james perrella,Celtic,75.034
craig barrett,Celtic,61.032
andrew grove,Celtic,62.344
eugene beard,African,50.957
philip geier,Nordic,44.349
john dillon,Celtic,83.532
rand araskog,Muslim,93.965
sidney taurel,Hispanic,30.826
