dirid,first,last,fullname,female,ethnicity,ethnicity_recode,names,predictions,confidences,predictions_recode,predictions_recode_strict
1.0,james,preston,JAMES E PRESTON,0.0,C,White,JAMES E PRESTON,Celtic,92.858,White,White
2.0,charles,miller,CHARLES D MILLER,,UNKNOWN,Unknown,CHARLES D MILLER,Celtic,62.297,White,Unknown
3.0,philip,neal,PHILIP M NEAL,0.0,C,White,PHILIP M NEAL,Celtic,91.714,White,White
4.0,peter,mullin,PETER W MULLIN,,U,Unknown,PETER W MULLIN,Celtic,81.52,White,White
5.0,richard,ferry,RICHARD M FERRY,,CAUCASIAN,White,RICHARD M FERRY,Celtic,76.842,White,White
6.0,george,sissel,GEORGE A SISSEL,0.0,C,White,GEORGE A SISSEL,African,86.149,Black,Black
7.0,christian,poindexter,CHRISTIAN H POINDEXTER,0.0,U,Unknown,CHRISTIAN H POINDEXTER,European,65.398,White,Unknown
8.0,edward,crooke,EDWARD A CROOKE,0.0,C,White,EDWARD A CROOKE,Celtic,85.314,White,White
9.0,furlong,baldwin,H. FURLONG BALDWIN,,CAUCASIAN,White,H. FURLONG BALDWIN,Celtic,75.038,White,White
12.0,john,mccoy,JOHN B MCCOY,0.0,C,White,JOHN B MCCOY,Celtic,91.75,White,White
13.0,robert,walter,ROBERT D WALTER,,U,Unknown,ROBERT D WALTER,Celtic,89.884,White,White
14.0,charles,gifford,CHARLES K GIFFORD,0.0,C,White,CHARLES K GIFFORD,Celtic,72.755,White,White
15.0,thomas,wheeler,THOMAS B WHEELER,0.0,Unknown,Unknown,THOMAS B WHEELER,Celtic,80.885,White,White
16.0,paul,chellgren,PAUL W CHELLGREN,0.0,C,White,PAUL W CHELLGREN,Celtic,75.205,White,White
18.0,vernon,jordan,VERNON E JORDAN JR,,U,Unknown,VERNON E JORDAN JR,Hispanic,56.006,Hispanic,Unknown
19.0,william,stiritz,WILLIAM P STIRITZ,0.0,C,White,WILLIAM P STIRITZ,African,74.016,Black,Black
22.0,thomas,stemberg,THOMAS G. STEMBERG,,CAUCASIAN,White,THOMAS G. STEMBERG,Nordic,79.224,White,White
23.0,charles,rice,CHARLES E RICE,0.0,C,White,CHARLES E RICE,Celtic,83.752,White,White
24.0,v,loucks,V R LOUCKS JR,0.0,Caucasian,White,V R LOUCKS JR,Hispanic,54.07,Hispanic,Unknown
25.0,john,roe,JOHN H ROE,0.0,C,White,JOHN H ROE,Nordic,40.255,White,Unknown
26.0,nolan,archibald,NOLAN D. ARCHIBALD,,CAUCASIAN,White,NOLAN D. ARCHIBALD,Celtic,77.076,White,White
27.0,lawrence,perlman,LAWRENCE PERLMAN,0.0,U,Unknown,LAWRENCE PERLMAN,African,54.725,Black,Unknown
29.0,john,reed,JOHN S REED,0.0,U,Unknown,JOHN S REED,Celtic,84.654,White,White
30.0,william,rhodes,WILLIAM R RHODES,0.0,C,White,WILLIAM R RHODES,Celtic,89.004,White,White
31.0,onno,ruding,H. ONNO RUDING,,CAUCASIAN,White,H. ONNO RUDING,Celtic,46.839,White,Unknown
32.0,david,johnson,DAVID W JOHNSON,,U,Unknown,DAVID W JOHNSON,Celtic,68.34,White,Unknown
33.0,morry,weiss,MORRY WEISS,0.0,C,White,MORRY WEISS,Celtic,64.954,White,Unknown
34.0,albert,ratner,ALBERT B RATNER,0.0,C,White,ALBERT B RATNER,Nordic,56.433,White,Unknown
36.0,david,mandarich,DAVID D MANDARICH,,CAUCASIAN,White,DAVID D MANDARICH,Celtic,27.612,White,Unknown
37.0,gilbert,goldstein,GILBERT GOLDSTEIN,0.0,C,White,GILBERT GOLDSTEIN,European,88.428,White,White
38.0,larry,mizel,LARRY A MIZEL,0.0,C,White,LARRY A MIZEL,Hispanic,88.313,Hispanic,Hispanic
39.0,alan,rosskamm,ALAN ROSSKAMM,0.0,C,White,ALAN ROSSKAMM,Celtic,52.65,White,Unknown
42.0,ira,gumberg,IRA GUMBERG,,CAUCASIAN,White,IRA GUMBERG,Nordic,98.22,White,White
44.0,william,longfield,WILLIAM H LONGFIELD,0.0,C,White,WILLIAM H LONGFIELD,Celtic,72.374,White,White
45.0,regina,herzlinger,REGINA E HERZLINGER,1.0,C,White,REGINA E HERZLINGER,Celtic,40.663,White,Unknown
48.0,duane,ackerman,F DUANE ACKERMAN,0.0,C,White,F DUANE ACKERMAN,African,87.581,Black,Black
49.0,thomas,hodgson,THOMAS R. HODGSON,,CAUCASIAN,White,THOMAS R. HODGSON,Celtic,89.657,White,White
50.0,wj,sanders,WJ SANDERS III,0.0,U,Unknown,WJ SANDERS III,Nordic,98.82,White,White
51.0,richard,previte,RICHARD PREVITE,0.0,U,Unknown,RICHARD PREVITE,Celtic,75.421,White,White
53.0,gerald,greenwald,GERALD GREENWALD,,U,Unknown,GERALD GREENWALD,Celtic,58.653,White,Unknown
54.0,gary,michael,GARY G MICHAEL,0.0,C,White,GARY G MICHAEL,Celtic,70.544,White,Unknown
56.0,joseph,gorman,JOSEPH T GORMAN,0.0,C,White,JOSEPH T GORMAN,Celtic,72.778,White,White
57.0,john,lewis,JOHN C LEWIS,0.0,C,White,JOHN C LEWIS,Celtic,83.361,White,White
59.0,barclay,collins,J COLLINS II,,UNKNOWN,Unknown,J COLLINS II,EastAsian,81.638,Asian,Asian
61.0,john,hess,JOHN B HESS,0.0,U,Unknown,JOHN B HESS,Celtic,73.218,White,White
62.0,handel,evans,HANDEL E EVANS,0.0,U,Unknown,HANDEL E EVANS,African,46.195,Black,Unknown
63.0,gavin,herbert,GAVIN S HERBERT,0.0,Caucasian,White,GAVIN S HERBERT,African,55.385,Black,Unknown
64.0,thomas,hays,THOMAS C HAYS,0.0,C,White,THOMAS C HAYS,Celtic,75.621,White,White
65.0,linn,draper,E LINN DRAPER JR,0.0,U,Unknown,E LINN DRAPER JR,Nordic,98.415,White,White
66.0,robert,devlin,ROBERT M DEVLIN,0.0,C,White,ROBERT M DEVLIN,Celtic,88.093,White,White
67.0,harvey,golub,HARVEY GOLUB,,CAUCASIAN,White,HARVEY GOLUB,Muslim,91.312,MiddleEastern,MiddleEastern
68.0,aldo,papone,ALDO PAPONE,0.0,U,Unknown,ALDO PAPONE,European,95.63,White,White
69.0,john,stafford,JOHN R STAFFORD,0.0,C,White,JOHN R STAFFORD,Celtic,89.714,White,White
70.0,maurice,greenberg,MAURICE R GREENBERG,,U,Unknown,MAURICE R GREENBERG,Celtic,36.488,White,Unknown
73.0,thomas,tizzio,THOMAS R. TIZZIO,,CAUCASIAN,White,THOMAS R. TIZZIO,European,80.534,White,White
74.0,carla,hills,CARLA A HILLS,1.0,C,White,CARLA A HILLS,Celtic,64.347,White,Unknown
75.0,richard,notebaert,RICHARD C. NOTEBAERT,,CAUCASIAN,White,RICHARD C. NOTEBAERT,Nordic,44.256,White,Unknown
77.0,laurance,fuller,H. LAURANCE FULLER,,CAUCASIAN,White,H. LAURANCE FULLER,African,45.793,Black,Unknown
78.0,william,hudson,WILLIAM J HUDSON JR,0.0,C,White,WILLIAM J HUDSON JR,Celtic,46.884,White,Unknown
79.0,james,marley,JAMES E MARLEY,,U,Unknown,JAMES E MARLEY,Celtic,89.585,White,White
81.0,august,busch,AUGUST A BUSCH III,0.0,C,White,AUGUST A BUSCH III,European,48.398,White,Unknown
82.0,edward,whitacre,EDWARD E WHITACRE JR,0.0,C,White,EDWARD E WHITACRE JR,Hispanic,78.34,Hispanic,Hispanic
83.0,carlos,fernandez,CARLOS FERNANDEZ GONZALEZ,,HISPANIC,Hispanic,CARLOS FERNANDEZ GONZALEZ,Hispanic,98.583,Hispanic,Hispanic
84.0,douglas,warner,DOUGLAS A WARNER III,0.0,C,White,DOUGLAS A WARNER III,EastAsian,26.259,Asian,Unknown
85.0,charles,knight,CHARLES F KNIGHT,0.0,C,White,CHARLES F KNIGHT,Celtic,81.744,White,White
87.0,james,will,JAMES F. WILL,,CAUCASIAN,White,JAMES F. WILL,Celtic,91.966,White,White
88.0,allen,deaver,E ALLEN DEAVER,0.0,U,Unknown,E ALLEN DEAVER,Celtic,90.948,White,White
89.0,george,lorch,GEORGE A. LORCH,,CAUCASIAN,White,GEORGE A. LORCH,Celtic,57.856,White,Unknown
90.0,kevin,sharer,KEVIN W SHARER,0.0,C,White,KEVIN W SHARER,Celtic,52.192,White,Unknown
91.0,richard,osborne,RICHARD DE J OSBORNE,0.0,Caucasian,White,RICHARD DE J OSBORNE,European,72.132,White,White
92.0,francis,mcallister,FRANCIS R MCALLISTER,0.0,U,Unknown,FRANCIS R MCALLISTER,Celtic,80.835,White,White
93.0,mike,bowlin,MIKE R. BOWLIN,,CAUCASIAN,White,MIKE R. BOWLIN,Celtic,86.145,White,White
95.0,carol,bartz,CAROL A. BARTZ,,CAUCASIAN,White,CAROL A. BARTZ,African,71.954,Black,Unknown
96.0,mark,bertelsen,MARK A BERTELSEN,0.0,U,Unknown,MARK A BERTELSEN,Nordic,75.055,White,White
97.0,jeffrey,curler,JEFFREY H CURLER,0.0,C,White,JEFFREY H CURLER,Celtic,74.957,White,White
100.0,harry,kamen,HARRY P KAMEN,0.0,C,White,HARRY P KAMEN,Celtic,39.891,White,Unknown
102.0,jerry,ritter,JERRY E RITTER,0.0,Caucasian,White,JERRY E RITTER,Celtic,69.922,White,Unknown
104.0,george,harad,GEORGE J HARAD,0.0,Caucasian,White,GEORGE J HARAD,European,28.254,White,Unknown
106.0,william,ruckelshaus,WILLIAM D RUCKELSHAUS,0.0,U,Unknown,WILLIAM D RUCKELSHAUS,Celtic,86.508,White,White
108.0,william,cavanaugh,WILLIAM CAVANAUGH III,,CAUCASIAN,White,WILLIAM CAVANAUGH III,Celtic,86.844,White,White
109.0,laurence,hirsch,LAURENCE E HIRSCH,0.0,C,White,LAURENCE E HIRSCH,Celtic,68.249,White,Unknown
110.0,david,quinn,DAVID W QUINN,,UNKNOWN,Unknown,DAVID W QUINN,Celtic,86.391,White,White
112.0,thomas,shockley,THOMAS V. SHOCKLEY III,,CAUCASIAN,White,THOMAS V. SHOCKLEY III,Celtic,55.717,White,Unknown
113.0,richard,brooks,E RICHARD BROOKS,0.0,C,White,E RICHARD BROOKS,Celtic,89.316,White,White
114.0,glenn,biggs,GLENN BIGGS,,U,Unknown,GLENN BIGGS,Celtic,87.617,White,White
115.0,walter,shipley,WALTER V SHIPLEY,0.0,U,Unknown,WALTER V SHIPLEY,Celtic,86.605,White,White
117.0,kenneth,derr,KENNETH T DERR,0.0,C,White,KENNETH T DERR,Celtic,65.536,White,Unknown
118.0,thomas,denomme,THOMAS G DENOMME,0.0,U,Unknown,THOMAS G DENOMME,European,58.362,White,Unknown
119.0,robert,eaton,ROBERT J. EATON,,CAUCASIAN,White,ROBERT J. EATON,Celtic,86.695,White,White
121.0,dean,ohare,DEAN R. O'HARE,,CAUCASIAN,White,DEAN R. O'HARE,African,65.723,Black,Unknown
122.0,daniel,meyer,DANIEL J MEYER,,U,Unknown,DANIEL J MEYER,European,72.244,White,White
123.0,joseph,steger,JOSEPH A STEGER,0.0,U,Unknown,JOSEPH A STEGER,African,44.328,Black,Unknown
125.0,richard,sharp,RICHARD L SHARP,0.0,C,White,RICHARD L SHARP,Celtic,85.044,White,White
126.0,david,arledge,DAVID A ARLEDGE,0.0,U,Unknown,DAVID A ARLEDGE,Celtic,88.065,White,White
128.0,reuben,mark,REUBEN MARK,0.0,C,White,REUBEN MARK,African,65.977,Black,Unknown
129.0,james,oconnor,JAMES J O'CONNOR,0.0,C,White,JAMES J O'CONNOR,Celtic,88.631,White,White
130.0,samuel,skinner,SAMUEL K SKINNER,,UNKNOWN,Unknown,SAMUEL K SKINNER,Nordic,56.884,White,Unknown
131.0,eckhard,pfeiffer,ECKHARD PFEIFFER,0.0,U,Unknown,ECKHARD PFEIFFER,European,79.468,White,White
134.0,russell,artzt,RUSSELL M ARTZT,0.0,U,Unknown,RUSSELL M ARTZT,African,68.252,Black,Unknown
136.0,van,honeycutt,VAN B. HONEYCUTT,,CAUCASIAN,White,VAN B. HONEYCUTT,EastAsian,34.454,Asian,Unknown
