dirid,fullname,ethnicity
1.0,JAMES E PRESTON,Caucasian
2.0,CHARLES D MILLER,Unknown
3.0,PHILIP M NEAL,Caucasian
4.0,PETER W. MULLIN,Caucasian
5.0,RICHARD M FERRY,Caucasian
6.0,GEORGE A SISSEL,Caucasian
7.0,CHRISTIAN H POINDEXTER,Unknown
8.0,EDWARD A CROOKE,Caucasian
9.0,H. FURLONG BALDWIN,Caucasian
12.0,JOHN B MCCOY,Caucasian
13.0,ROBERT D. WALTER,Caucasian
14.0,CHARLES K GIFFORD,Caucasian
15.0,THOMAS B. WHEELER,Caucasian
16.0,PAUL W CHELLGREN,Caucasian
18.0,VERNON E JORDAN JR.,African-American
19.0,WILLIAM P STIRITZ,Caucasian
22.0,THOMAS G. STEMBERG,Caucasian
23.0,CHARLES E RICE,Caucasian
24.0,V R LOUCKS JR,Caucasian
25.0,JOHN H ROE,Caucasian
26.0,NOLAN D. ARCHIBALD,Caucasian
27.0,LAWRENCE PERLMAN,Unknown
29.0,JOHN S REED,Unknown
30.0,WILLIAM R RHODES,Caucasian
31.0,H. ONNO RUDING,Caucasian
32.0,DAVID W JOHNSON,Unknown
33.0,MORRY WEISS,Caucasian
34.0,ALBERT B RATNER,Caucasian
36.0,DAVID D MANDARICH,Caucasian
37.0,GILBERT GOLDSTEIN,Caucasian
38.0,LARRY A MIZEL,Caucasian
39.0,ALAN ROSSKAMM,Caucasian
42.0,IRA GUMBERG,Caucasian
44.0,WILLIAM H LONGFIELD,Caucasian
45.0,REGINA E HERZLINGER,Caucasian
48.0,F DUANE ACKERMAN,Caucasian
49.0,THOMAS R. HODGSON,Caucasian
50.0,WJ SANDERS III,Unknown
51.0,RICHARD PREVITE,Unknown
53.0,GERALD GREENWALD,Unknown
54.0,GARY G MICHAEL,Caucasian
56.0,JOSEPH T GORMAN,Caucasian
57.0,JOHN C LEWIS,Caucasian
59.0,J BARCLAY COLLINS II,Caucasian
61.0,JOHN B. HESS,Caucasian
62.0,HANDEL E EVANS,Unknown
63.0,GAVIN S HERBERT,Caucasian
64.0,THOMAS C HAYS,Caucasian
65.0,E. LINN DRAPER JR.,Caucasian
66.0,ROBERT M DEVLIN,Caucasian
67.0,HARVEY GOLUB,Caucasian
68.0,ALDO PAPONE,Unknown
69.0,JOHN R STAFFORD,Caucasian
70.0,MAURICE R GREENBERG,Unknown
73.0,THOMAS R. TIZZIO,Caucasian
74.0,CARLA A HILLS,Caucasian
75.0,RICHARD C. NOTEBAERT,Caucasian
77.0,H. LAURANCE FULLER,Caucasian
78.0,WILLIAM J HUDSON JR,Caucasian
79.0,JAMES E MARLEY,Unknown
81.0,AUGUST A BUSCH III,Caucasian
82.0,EDWARD E WHITACRE JR,Caucasian
83.0,CARLOS FERNANDEZ GONZALEZ,Hispanic
84.0,DOUGLAS A WARNER III,Caucasian
85.0,CHARLES F KNIGHT,Caucasian
87.0,JAMES F. WILL,Caucasian
88.0,E DEAVER,Caucasian
89.0,GEORGE A. LORCH,Caucasian
90.0,KEVIN W SHARER,Caucasian
91.0,RICHARD DE J OSBORNE,Caucasian
92.0,FRANCIS R MCALLISTER,Unknown
93.0,MIKE R. BOWLIN,Caucasian
95.0,CAROL A. BARTZ,Caucasian
96.0,MARK A. BERTELSEN,Caucasian
97.0,JEFFREY H CURLER,Caucasian
100.0,HARRY P KAMEN,Caucasian
102.0,JERRY E RITTER,Caucasian
104.0,GEORGE J HARAD,Caucasian
106.0,WILLIAM D RUCKELSHAUS,Unknown
108.0,WILLIAM CAVANAUGH III,Caucasian
109.0,LAURENCE E HIRSCH,Caucasian
110.0,DAVID W. QUINN,Caucasian
112.0,THOMAS V. SHOCKLEY III,Caucasian
113.0,E RICHARD BROOKS,Caucasian
114.0,E GLENN BIGGS,Caucasian
115.0,WALTER V SHIPLEY,Unknown
117.0,KENNETH T DERR,Caucasian
118.0,THOMAS G. DENOMME,Caucasian
119.0,ROBERT J. EATON,Caucasian
121.0,DEAN R. O'HARE,Caucasian
122.0,DANIEL J MEYER,Unknown
123.0,JOSEPH A STEGER,Unknown
