names,predictions,confidences
JAMES E PRESTON,british,93.32
CHARLES D MILLER,british,34.509
PHILIP M NEAL,british,51.379
PETER W. MULLIN,british,33.678
RICHARD M FERRY,british,88.915
GEORGE A SISSEL,dutch,42.568
CHRISTIAN H POINDEXTER,german,61.447
EDWARD A CROOKE,british,62.636
H. FURLONG BALDWIN,else,48.016
JOHN B MCCOY,british,51.006
ROBERT D. WALTER,polish,24.504
CHARLES K GIFFORD,british,77.433
THOMAS B. WHEELER,british,47.341
PAUL W CHELLGREN,swedish,87.391
VERNON E JORDAN JR.,else,30.142
WILLIAM P STIRITZ,else,40.63
THOMAS G. STEMBERG,danish,49.467
CHARLES E RICE,british,66.855
V R LOUCKS JR,british,27.101
JOHN H ROE,else,79.475
NOLAN D. ARCHIBALD,british,36.992
LAWRENCE PERLMAN,british,32.755
JOHN S REED,british,41.539
WILLIAM R RHODES,british,51.45
H. ONNO RUDING,swedish,53.402
DAVID W JOHNSON,nigerian,21.381
MORRY WEISS,british,39.663
ALBERT B RATNER,german,45.431
DAVID D MANDARICH,hungarian,43.749
GILBERT GOLDSTEIN,else,28.923
LARRY A MIZEL,british,30.574
ALAN ROSSKAMM,german,88.43
IRA GUMBERG,swedish,38.18
WILLIAM H LONGFIELD,british,79.454
REGINA E HERZLINGER,german,85.287
F DUANE ACKERMAN,dutch,44.491
THOMAS R. HODGSON,british,36.556
WJ SANDERS III,else,45.354
RICHARD PREVITE,british,25.048
GERALD GREENWALD,british,32.267
GARY G MICHAEL,british,82.871
JOSEPH T GORMAN,british,66.335
JOHN C LEWIS,british,72.622
J BARCLAY COLLINS II,else,54.74
JOHN B. HESS,british,34.002
HANDEL E EVANS,british,64.361
GAVIN S HERBERT,german,37.929
THOMAS C HAYS,german,25.017
E. LINN DRAPER JR.,swedish,66.797
ROBERT M DEVLIN,british,50.737
HARVEY GOLUB,turkish,18.838
ALDO PAPONE,italian,99.016
JOHN R STAFFORD,british,64.14
MAURICE R GREENBERG,else,32.774
THOMAS R. TIZZIO,italian,71.52
CARLA A HILLS,british,42.596
RICHARD C. NOTEBAERT,dutch,30.708
H. LAURANCE FULLER,else,66.916
WILLIAM J HUDSON JR,else,88.174
JAMES E MARLEY,british,85.753
AUGUST A BUSCH III,danish,88.023
EDWARD E WHITACRE JR,else,73.194
CARLOS FERNANDEZ GONZALEZ,spanish,98.78
DOUGLAS A WARNER III,british,52.616
CHARLES F KNIGHT,british,41.178
JAMES F. WILL,british,73.954
E DEAVER,else,68.427
GEORGE A. LORCH,british,24.74
KEVIN W SHARER,else,50.364
RICHARD DE J OSBORNE,dutch,81.033
FRANCIS R MCALLISTER,british,63.796
MIKE R. BOWLIN,danish,34.334
CAROL A. BARTZ,british,24.734
MARK A. BERTELSEN,danish,97.124
JEFFREY H CURLER,else,48.847
HARRY P KAMEN,dutch,36.017
JERRY E RITTER,british,51.425
GEORGE J HARAD,british,24.831
WILLIAM D RUCKELSHAUS,german,45.394
WILLIAM CAVANAUGH III,else,87.079
LAURENCE E HIRSCH,german,47.702
DAVID W. QUINN,british,73.747
THOMAS V. SHOCKLEY III,british,44.768
E RICHARD BROOKS,british,80.979
E GLENN BIGGS,british,56.324
WALTER V SHIPLEY,british,55.356
KENNETH T DERR,british,83.548
THOMAS G. DENOMME,british,34.828
ROBERT J. EATON,british,66.622
DEAN R. O'HARE,nigerian,49.808
DANIEL J MEYER,german,25.892
JOSEPH A STEGER,else,46.167
RICHARD L SHARP,british,84.927
DAVID A ARLEDGE,british,80.901
REUBEN MARK,british,27.945
JAMES J O'CONNOR,british,67.806
SAMUEL K. SKINNER,british,82.062
ECKHARD PFEIFFER,german,89.97
RUSSELL M ARTZT,british,31.304
VAN B. HONEYCUTT,british,19.306
LEON J. LEVEL,dutch,25.048
EUGENE R MCGRATH,else,92.552
GEORGE A DAVIDSON JR,else,67.349
ROGER G. ACKERMAN,british,83.681
CHARLES R SHOEMATE,british,89.97
RS EVANS,else,83.158
CHARLES J QUEENAN JR,else,93.822
WILLIAM J AVERY,british,50.88
JOHN W. SNOW,british,55.208
ROBERT L BURRUS JR.,else,53.308
HUGH L MCCOLL JR,else,70.693
JAMES A. HENDERSON,british,60.746
ROBERT J DARNALL,british,84.711
HAROLD BROWN,british,69.424
WILLIAM I MILLER,british,36.87
J WILSON,british,23.747
DOUGLAS H. MCCORKINDALE,british,61.988
DONALD G FISHER,british,43.142
DORIS F FISHER,british,54.999
ROBERT J FISHER,british,26.789
MILLARD S. DREXLER,danish,21.093
NICHOLAS D CHABRAJA,indian,25.157
JAMES S CROWN,british,60.925
LESTER CROWN,else,31.62
CHARLES H GOODMAN,british,76.122
RONALD E FERGUSON,british,61.877
WILLIAM S WIRE II,else,42.535
LARRY L PRINCE,british,86.911
THOMAS C GALLAGHER,german,33.538
ALSTON D CORRELL JR,else,43.994
JAMES B WILLIAMS,british,86.747
LOUIS W. SULLIVAN,british,34.997
ANNE MARIE WHITTEMORE,french,64.121
BRUCE C. GOTTWALD,zimbabwean,71.395
DAVID A STONECIPHER,british,71.653
RALPH S LARSEN,danish,95.567
ROBERT N WILSON,british,47.88
JAMES H. KEYES,else,64.142
ARNOLD G. LANGBO,hungarian,21.957
P ANTHONY RIDDER,british,35.109
JOSEPH A. PICHLER,else,34.637
REUBEN V. ANDERSON,british,36.219
J WILLARD MARRIOTT JR,else,38.826
RICHARD E. MARRIOTT,british,72.155
W. MITT ROMNEY,else,94.171
MARCUS C BENNETT,british,63.443
NORMAN R AUGUSTINE,british,38.405
RICHARD A. MANOOGIAN,french,19.968
RONALD M LOEB,dutch,36.035
DAVID C FARRELL,british,48.361
LEONARD A HADLEY,british,75.128
JAMES H BERICK,british,61.185
BENJAMIN R CIVILETTI,italian,55.723
RANDOLPH D LERNER,else,34.486
ROBERT M. BEAVERS JR.,else,59.025
JAMES R CANTALUPO,else,77.845
JACK M. GREENBERG,danish,49.203
MICHAEL R QUINLAN,else,57.122
EDWARD H. RENSI,british,42.798
DONALD G. LUBIN,else,54.062
ANDREW J. MCKENNA,else,61.331
JOSEPH L DIONNE,british,42.565
HAROLD W. MCGRAW III,british,67.539
STEVEN C MASON,british,92.783
FRANK V CAHOUET,french,75.821
W. KEITH SMITH,else,31.713
STEPHEN L HAMMERMAN,british,45.202
AULANA L PETERS,else,43.463
LIVIO D DESIMONE,italian,97.246
RONALD A MITSCH,dutch,62.02
LUCIO A NOTO,zimbabwean,69.019
EUGENE A. RENNA,italian,75.732
NICHOLAS L REDING,british,63.991
ROBERT B SHAPIRO,zimbabwean,53.401
PHILIP J PURCELL,british,84.197
CAROL L BERNICK,british,87.212
RONALD L. SKATES,british,69.534
DUANE L BURNHAM,british,54.627
SOUTHWOOD J MORCOTT,british,73.549
ROBERT J ULRICH,german,58.317
LEONARD H LAVIN,else,41.065
HOWARD B. BERNICK,british,75.344
BERNICE E LAVIN,french,36.267
LAWRENCE A BOSSIDY,british,20.575
HANS W BECHERER,german,66.972
JOHN E. LOBBIA,british,42.645
LARRY G GARBERDING,british,82.118
ALAN E SCHWARTZ,danish,70.593
DRUE CORBUSIER,danish,35.793
MIKE DILLARD,zimbabwean,27.027
WILLIAM DILLARD II,chinese,50.238
JAMES I FREEMAN,british,71.592
WILL D DAVIS,british,56.011
WILLIAM H SUTTON,british,75.978
JOHN H. JOHNSON,else,35.238
MICHAEL D EISNER,german,67.745
RICHARD A NUNIS,else,33.336
GARY L. WILSON,british,80.322
THOMAS E CAPPS,german,34.501
GARY L. ROUBOS,british,46.93
THOMAS L REECE,british,73.084
JAMES L. KOLEY,british,59.95
FRANK P POPOFF,german,25.15
ENRIQUE C FALLA,spanish,93.116
WILLIAM S STAVROPOULOS,greek,96.067
JAMES H OTTAWAY JR,else,46.342
PETER R KANN,danish,52.167
WILLIAM E. BRADFORD,british,67.489
RICHARD B PRIORY,british,72.06
WILLIAM H GRIGG,british,47.825
J ATWOOD IVES,nigerian,20.508
ALEXANDER M CUTLER,else,29.63
STEPHEN R. HARDIS,else,43.645
W BLOUNT,french,33.442
JOHN A COOPER JR,else,44.162
ROBERT VD LUFT,german,55.531
BISMARK A STEINHAGEN,danish,47.568
JAMES R. NICHOLS,british,79.391
JAMES A JOHNSON,else,40.438
LAWRENCE M SMALL,british,66.22
ROBERT N BURT,polish,47.275
LARRY D. BRADY,british,41.148
RICHARD J SWIFT,british,62.96
JAMES L BROADHEAD,british,77.21
DALE P JONES,british,57.829
RICHARD A SMITH,british,68.628
ROBERT A SMITH,british,48.835
ALAN HASSENFELD,british,32.732
ALFRED VERRECCHIA,italian,94.644
PRESTON R TISCH,danish,26.38
CARL SPIELVOGEL,german,66.899
HENRY TAUB,french,25.85
HANS HELMERICH,german,62.288
GEORGE S DOTSON,else,18.939
WALTER H HELMERICH III,german,88.562
R KEITH ELLIOTT,british,28.322
JOSEPH P VIVIANO,else,46.705
KENNETH L WOLFE,danish,59.283
LEWIS E PLATT,british,93.124
ROBERT P. WAYMAN,dutch,33.777
RICHARD A HACKBORN,british,54.95
WILLIAM BARRON HILTON,british,95.057
ARTHUR M. BLANK,british,22.514
KENNETH G LANGONE,else,46.062
MICHAEL R BONSIGNORE,french,52.482
DON D JORDAN,british,56.434
HAROLD B SMITH,british,43.265
JAMES E PERRELLA,else,71.573
CRAIG R BARRETT,british,90.147
ANDREW S GROVE,british,61.907
EUGENE P BEARD,else,28.967
PHILIP H GEIER JR,else,62.964
JOHN T. DILLON,british,83.903
RAND V ARASKOG,hungarian,76.552
SIDNEY TAUREL,else,53.989
AUGUST M WATANABE,else,47.041
LESLIE WEXNER,german,44.725
MARTIN TRUST,danish,25.445
IAN M. ROLLAND,else,45.697
ROBERT M LONG,chinese,38.095
PIERRE S DU PONT IV,french,41.153
ALFRED M. RANKIN JR.,else,80.52
EDWARD J. MOONEY,else,52.221
CHARLES W COKER,british,56.963
WILLIAM P SOVEY,british,67.82
RONALD C CAMBRE,british,59.177
WILLIAM E. DAVIS,british,61.18
THOMAS L FISHER,danish,32.54
JOHN H. BIRDSALL III,else,87.084
D WAYNE GITTINGER,british,50.131
DAVID R. GOODE,british,66.292
LANDON HILLIARD,french,41.306
GERALD L BALILES,french,28.69
JAMES J HOWARD,british,85.121
RICHARD M. KOVACEVICH,russian,53.469
CYNTHIA H MILLIGAN,else,39.032
LARRY W SONSINI,british,22.013
JOHN D. CORRENTI,italian,50.124
FREDERIC V. SALERNO,french,81.946
IVAN G. SEIDENBERG,russian,40.196
STANLEY P GOLDSTEIN,british,37.021
DOUGLAS C YEARLEY,british,86.153
WILLIAM C STEERE JR,british,51.023
JEAN-PAUL VALLES,french,98.037
ROGER A ENRICO,british,30.453
M ANTHONY BURNS,else,55.495
CHARLES D WAY,british,82.724
G EDWIN MCCRANIE,else,21.795
JAMES M SHOEMAKER JR,else,78.926
BENJAMIN STRAUSS,german,91.769
WOLFGANG R SCHMITT,german,99.001
C R PALMER,danish,30.155
HENRY B TIPPIE,british,32.286
JOSEPH F PAQUETTE JR,else,67.934
CORBIN A. MCNEILL JR.,else,88.521
RICHARD H. GLANTON,british,85.746
JOHN P MULRONEY,else,75.25
DONALD R BEALL,british,76.397
WILLIAM T MCCORMICK JR,else,46.486
JOSEPH F TOOT JR,else,75.609
PHILIP J. QUIGLEY,british,54.956
TONI REMBE,zimbabwean,97.206
WILLIS B WOOD JR,british,62.256
JEREMIAH J SHEEHAN,danish,31.882
PAUL R DUNCAN,british,88.883
PAUL B FIREMAN,british,43.676
JAMES C PIGOTT,british,74.615
FERDINAND COLLOREDO-MANSFELD,dutch,42.376
RAKESH GANGWAL,indian,99.518
STEPHEN M. WOLF,british,30.029
ROBERT C BUHRMASTER,british,75.764
WILLIAM J. PULTE,british,78.39
E. JAMES (JIM) FERLAND,else,73.645
LAWRENCE R. CODEY,british,76.2
T. J. DERMOT DUNPHY,else,57.872
PHILIP G SATRE,british,49.91
JEFFREY H BROTMAN,british,51.074
RICHARD D. DICERCHIO,italian,63.084
JAMES D SINEGAL,british,70.56
RICHARD M. LIBENSON,british,65.689
JOHN W. MEISENBACH,danish,50.976
EDGAR G. HOTARD,else,86.338
H WILLIAM LICHTENBERGER,else,38.236
RICHARD B MADDEN,british,81.464
JOSEPH C FARRELL,british,49.178
J J MULVA,else,72.79
THOMAS H O'BRIEN,danish,24.981
JAMES E ROHR,german,58.291
ROBERT H CAMPBELL,british,80.399
MYLES J SLOSBERG,else,38.674
ROGER W. STONE,british,85.729
DOUGLAS W. LEATHERDALE,british,87.385
RONALD A MATRICARIA,italian,68.119
RONALD T LEMAY,british,64.186
WILLIAM T ESREY,british,68.372
DUBOSE AUSLEY,nigerian,73.333
CRANDALL C. BOWLES,british,87.269
A W DAHLBERG,swedish,95.205
H FRANKLIN,russian,26.099
RONALD L KUEHN JR,dutch,25.606
JOHN G BREEN,british,50.789
THOMAS A COMMES,british,24.889
RICHARD J KOGAN,hungarian,47.271
